Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired
MagicalTaruruutokun Sukisuki Takoyaki,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Magic', 'School']",Movie,,['Toei Animation'],6.83,12.0,12966.0,146.0,1.0,Unknown,"Mar 7, 1992"
MagicalTaruruutokun Moeru Yuujou no Mahou Taisen,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Magic', 'School']",Movie,,['Toei Animation'],6.43,14.0,12915.0,148.0,1.0,Unknown,"Jul 20, 1991"
Hipirakun Special,"['Comedy', 'Fantasy', 'Kids', 'Supernatural', 'Vampire']",Special,,['Sunrise'],5.1,30.0,11301.0,243.0,1.0,Unknown,"Jan 29, 2014"
Obake no QTarou Tobidase Bake Bake Daisakusen,"['Comedy', 'Kids', 'School', 'Slice of Life']",Movie,,['Shin-Ei Animation'],5.2,10.0,14323.0,99.0,1.0,Unknown,"Mar 15, 1986"
Shisei Sasshin,['Slice of Life'],Movie,,,7.29,7.0,14666.0,79.0,1.0,Original,1925
Shin Skyers 5,"['Action', 'Sci-Fi']",TV,['Tele-Cartoon Japan'],,6.5,8.0,13155.0,129.0,26.0,Unknown,"Oct 14, 1971 to Mar 3, 1972"
Manga Jinbutsushi,['Historical'],TV,,,6.65,20.0,13354.0,130.0,365.0,Unknown,"Aug 1, 1970 to Sep 30, 1971"
Otoko Doahou Koushien,"['Action', 'Sports']",TV,,,7.23,13.0,12586.0,152.0,156.0,Unknown,"Sep 28, 1970 to Mar 27, 1971"
Hazedon,"['Kids', 'Adventure', 'Comedy']",TV,['Fuji TV'],['Sunrise'],5.75,8.0,14154.0,106.0,26.0,Unknown,"Oct 5, 1972 to Mar 29, 1973"
Peaceful Times F02 Petit Film,['Music'],Music,,['Khara'],4.92,1069.0,7004.0,2334.0,1.0,Unknown,"Nov 23, 2013"
Popful Mail,"['Comedy', 'Fantasy', 'Music']",Music,['Sega'],['Studio Fantasia'],5.8,126.0,12065.0,229.0,1.0,Game,1994
