Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired
Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,['Bandai Visual'],['Sunrise'],8.81,363889.0,39.0,704490.0,26.0,Original,"Apr 3, 1998 to Apr 24, 1999"
Cowboy Bebop Tengoku no Tobira,"['Action', 'Space', 'Drama', 'Mystery', 'Sci-Fi']",Movie,"['Sunrise', 'Bandai Visual']",['Bones'],8.41,111187.0,475.0,179899.0,1.0,Original,"Sep 1, 2001"
Trigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,['Victor Entertainment'],['Madhouse'],8.31,197451.0,158.0,372709.0,26.0,Manga,"Apr 1, 1998 to Sep 30, 1998"
Witch Hunter Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,['Bandai Visual'],['Sunrise'],7.34,31875.0,1278.0,74889.0,26.0,Original,"Jul 2, 2002 to Dec 24, 2002"
Bouken Ou Beet,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,,['Toei Animation'],7.04,4757.0,3968.0,11247.0,52.0,Manga,"Sep 30, 2004 to Sep 29, 2005"
Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Studio Gallop'],8.05,48765.0,888.0,106468.0,145.0,Manga,"Apr 6, 2005 to Mar 19, 2008"
Hachimitsu to Clover,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,"['Genco', 'Fuji TV', 'Shueisha']",['J.C.Staff'],8.14,54367.0,578.0,160236.0,24.0,Manga,"Apr 15, 2005 to Sep 27, 2005"
Hungry Heart Wild Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,,['Nippon Animation'],7.69,8868.0,3330.0,16132.0,52.0,Manga,"Sep 11, 2002 to Sep 10, 2003"
Initial D Fourth Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,"['OB Planning', 'Studio Jack']",['A.C.G.T.'],8.24,37575.0,1228.0,64338.0,24.0,Manga,"Apr 17, 2004 to Feb 18, 2006"
Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Madhouse'],8.69,118553.0,159.0,352153.0,74.0,Manga,"Apr 7, 2004 to Sep 28, 2005"
Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Studio Pierrot'],7.88,645672.0,9.0,975394.0,220.0,Manga,"Oct 3, 2002 to Feb 8, 2007"
Tennis no Oujisama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,"['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],8.01,48076.0,915.0,107296.0,178.0,Manga,"Oct 10, 2001 to Mar 23, 2005"
Ring ni Kakero 1,"['Action', 'Shounen', 'Sports']",TV,,['Toei Animation'],6.59,763.0,6847.0,2725.0,12.0,Manga,"Oct 6, 2004 to Dec 15, 2004"
School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']",TV,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet'],8.02,101509.0,412.0,214291.0,26.0,Manga,"Oct 5, 2004 to Mar 29, 2005"
Sunabouzu,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,"['GDH', 'Pony Canyon', 'CBC']",['Gonzo'],7.52,34345.0,1112.0,83460.0,24.0,Manga,"Oct 6, 2004 to Mar 30, 2005"
Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78,29698.0,720.0,126309.0,22.0,Original,"Apr 17, 2003 to Sep 25, 2003"
Trinity Blood,"['Action', 'Supernatural', 'Vampire']",TV,,['Gonzo'],7.41,59564.0,761.0,131732.0,24.0,Light novel,"Apr 29, 2005 to Oct 28, 2005"
Yakitate Japan,"['Comedy', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise'],8.02,26509.0,1476.0,62224.0,69.0,Manga,"Oct 12, 2004 to Mar 14, 2006"
Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",TV,"['Marvelous', 'TBS']",['Studio Deen'],7.54,4148.0,3729.0,11768.0,26.0,Manga,"Oct 8, 2004 to Apr 1, 2005"
Neon Genesis Evangelion,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",TV,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']",8.32,362916.0,49.0,638943.0,26.0,Original,"Oct 4, 1995 to Mar 27, 1996"
Neon Genesis Evangelion Death  Rebirth,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Movie,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",7.5,70336.0,764.0,121746.0,1.0,Original,"Mar 15, 1997"
Neon Genesis Evangelion The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Movie,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",8.48,193277.0,208.0,295214.0,1.0,Original,"Jul 19, 1997"
Kenpuu Denki Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,"['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM'],8.45,153543.0,250.0,301328.0,25.0,Manga,"Oct 8, 1997 to Apr 1, 1998"
Koukaku Kidoutai,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",Movie,"['Bandai Visual', 'Kodansha']",['Production I.G'],8.35,182385.0,205.0,328965.0,1.0,Manga,"Nov 18, 1995"
Rurouni Kenshin Meiji Kenkaku Romantan  Tsuiokuhen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']",OVA,['Aniplex'],['Studio Deen'],8.79,89007.0,537.0,166944.0,4.0,Manga,"Feb 20, 1999 to Sep 22, 1999"
Rurouni Kenshin Meiji Kenkaku Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']",TV,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']",8.4,135492.0,294.0,274956.0,94.0,Manga,"Jan 10, 1996 to Sep 8, 1998"
Rurouni Kenshin Meiji Kenkaku Romantan  Ishinshishi e no Chinkonka,"['Samurai', 'Historical', 'Drama', 'Shounen']",Movie,"['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop'],7.63,20921.0,2166.0,37273.0,1.0,Manga,"Dec 20, 1997"
Akira,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']",Movie,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha'],8.16,190158.0,195.0,309004.0,1.0,Manga,"Jul 16, 1988"
hackSign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09,61438.0,771.0,129203.0,26.0,Original,"Apr 4, 2002 to Sep 26, 2002"
Aa Megamisama,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC'],7.38,20917.0,2083.0,38999.0,5.0,Manga,"Feb 21, 1993 to May 17, 1994"
Aa Megamisama TV,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",TV,"['Bandai Visual', 'TBS']",['AIC'],7.43,57230.0,902.0,111950.0,24.0,Manga,"Jan 7, 2005 to Jul 8, 2005"
Tenshi Kinryouku,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",OVA,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker'],6.42,23142.0,2120.0,39332.0,3.0,Manga,"May 25, 2000 to Aug 25, 2000"
Kidou Tenshi Angelic Layer,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",TV,['TV Tokyo Music'],['Bones'],7.31,22155.0,1957.0,44193.0,26.0,Manga,"Apr 1, 2001 to Sep 23, 2001"
Ai Yori Aoshi,"['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']",TV,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']",['J.C.Staff'],7.21,39120.0,1251.0,77802.0,24.0,Manga,"Apr 11, 2002 to Sep 26, 2002"
Appleseed Movie,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Movie,"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']",['Digital Frontier'],7.19,33806.0,1656.0,55642.0,1.0,Manga,"Apr 17, 2004"
Arc the Lad,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",TV,"['Sony Pictures Entertainment', 'Aniplex']",['Bee Train'],6.6,4313.0,3864.0,11894.0,26.0,Game,"Apr 5, 1999 to Sep 11, 1999"
Avenger,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,['Production I.G'],"['Bee Train', 'Xebec']",5.97,5304.0,3672.0,13734.0,13.0,Original,"Oct 2, 2003 to Dec 25, 2003"
Beck,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",TV,"['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Madhouse'],8.37,86919.0,489.0,184445.0,26.0,Manga,"Oct 7, 2004 to Mar 31, 2005"
Blue Gender,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",TV,"['Youmex', 'Toshiba EMI']",['AIC'],7.11,20557.0,1699.0,50597.0,26.0,Original,"Oct 8, 1999 to Mar 31, 2000"
Chobits,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",TV,"['TBS', 'Pioneer LDC']",['Madhouse'],7.53,175227.0,260.0,317260.0,26.0,Manga,"Apr 3, 2002 to Sep 25, 2002"
Chrno Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']",TV,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo'],7.76,78730.0,593.0,165218.0,24.0,Manga,"Nov 25, 2003 to Jun 10, 2004"
DNAngel,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",TV,['Kadokawa Shoten'],['Xebec'],7.31,75971.0,716.0,142935.0,26.0,Manga,"Apr 3, 2003 to Sep 25, 2003"
DC Da Capo,"['Harem', 'Drama', 'Magic', 'Romance']",TV,"['Lantis', 'King Records']","['feel.', 'Zexcs']",6.87,24042.0,1620.0,56434.0,26.0,Visual novel,"Jul 5, 2003 to Dec 27, 2003"
DearS,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi']",TV,"['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']",['Daume'],6.74,59210.0,954.0,105654.0,12.0,Manga,"Jul 11, 2004 to Sep 26, 2004"
Rozen Maiden,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,"['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']",['Nomad'],7.53,74244.0,678.0,148037.0,12.0,Manga,"Oct 8, 2004 to Dec 24, 2004"
Rozen Maiden Trumend,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,"['Mellow Head', 'TBS']",['Nomad'],7.74,47114.0,1225.0,81329.0,12.0,Manga,"Oct 21, 2005 to Jan 27, 2006"
Azumanga Daioh,"['Slice of Life', 'Comedy', 'School']",TV,"['Genco', 'Lantis', 'Imagica', 'TV Tokyo Music', 'Cosmic Ray', 'King Records']",['J.C.Staff'],8.04,97220.0,450.0,203059.0,26.0,4-koma manga,"Apr 9, 2002 to Oct 1, 2002"
Basilisk Kouga Ninpou Chou,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",TV,"['GDH', 'Kodansha', 'Sotsu Music Publishing']",['Gonzo'],7.66,54403.0,784.0,124967.0,24.0,Manga,"Apr 13, 2005 to Sep 21, 2005"
Black Cat,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Super Power']",TV,"['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing']",['Gonzo'],7.49,89095.0,525.0,181644.0,23.0,Manga,"Oct 7, 2005 to Mar 31, 2006"
Cluster Edge,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",TV,['Bandai Visual'],['Sunrise'],6.45,2183.0,4637.0,7831.0,25.0,Original,"Oct 5, 2005 to Mar 29, 2006"
Full Metal Panic,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",TV,['Kadokawa Shoten'],['Gonzo'],7.75,167246.0,244.0,317099.0,24.0,Light novel,"Jan 8, 2002 to Jun 18, 2002"
Full Metal Panic Fumoffu,"['Action', 'Comedy', 'School']",TV,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']",['Kyoto Animation'],8.16,127214.0,452.0,203721.0,12.0,Light novel,"Aug 26, 2003 to Oct 18, 2003"
Full Metal Panic The Second Raid,"['Action', 'Military', 'Mecha']",TV,"['Kadokawa Shoten', 'Happinet Pictures']",['Kyoto Animation'],8.03,109315.0,520.0,184261.0,13.0,Light novel,"Jul 14, 2005 to Oct 20, 2005"
Gakuen Alice,"['Comedy', 'School', 'Shoujo', 'Super Power']",TV,"['Aniplex', 'Sogo Vision']",['Group TAC'],7.77,33204.0,1477.0,62865.0,26.0,Manga,"Oct 30, 2004 to May 14, 2005"
Soukyuu no Fafner Dead Aggressor,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",TV,['TV Tokyo Music'],['Xebec'],7.36,10469.0,2280.0,32492.0,25.0,Original,"Jul 5, 2004 to Dec 27, 2004"
Mahou Shoujo Lyrical Nanoha,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs'],7.49,31503.0,1325.0,73306.0,13.0,Original,"Oct 3, 2004 to Dec 26, 2004"
Mahou Shoujo Lyrical Nanoha As,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs'],8.07,25763.0,1825.0,47811.0,13.0,Original,"Oct 2, 2005 to Dec 25, 2005"
Shuffle,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']",TV,"['Lantis', 'Memory-Tech']","['Xebec', 'Asread']",7.24,96970.0,496.0,190598.0,24.0,Visual novel,"Jul 8, 2005 to Jan 6, 2006"
Mobile Suit Gundam,"['Action', 'Space', 'Mecha', 'Military', 'Sci-Fi']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],7.87,29261.0,1332.0,66802.0,43.0,Original,"Apr 7, 1979 to Jan 26, 1980"
Mobile Suit Gundam The 08th MS Team,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",OVA,['Atelier Musa'],['Sunrise'],8.1,24816.0,1803.0,44047.0,12.0,Original,"Jan 25, 1996 to Jul 25, 1999"
Mobile Suit Gundam 0080 War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",OVA,['Bandai Visual'],['Sunrise'],7.87,16209.0,2298.0,29545.0,6.0,Original,"Mar 25, 1989 to Aug 25, 1989"
Mobile Suit Gundam The 08th MS Team  Millers Report,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",Movie,"['Sotsu', 'Atelier Musa']",['Sunrise'],6.92,4800.0,4260.0,9344.0,1.0,Original,"Aug 1, 1998"
Mobile Suit Gundam 0083 Stardust Memory,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",OVA,['Bandai Visual'],['Sunrise'],7.42,14133.0,2594.0,24894.0,13.0,Original,"May 23, 1991 to Sep 24, 1992"
Mobile Suit Zeta Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],8.02,18568.0,2016.0,37251.0,50.0,Original,"Mar 2, 1985 to Feb 22, 1986"
Mobile Suit Gundam ZZ,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],6.76,10131.0,2762.0,21830.0,47.0,Original,"Mar 1, 1986 to Jan 31, 1987"
Mobile Suit Gundam Chars Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']",7.77,13934.0,2604.0,24100.0,1.0,Novel,"Mar 12, 1988"
Mobile Suit Gundam Chars Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']",7.77,13934.0,2603.0,24100.0,1.0,Novel,"Mar 12, 1988"
Mobile Suit Gundam F91,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya TV Housou']",['Sunrise'],6.81,9124.0,3208.0,16606.0,1.0,Unknown,"Mar 16, 1991"
Mobile Suit Victory Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,"['TV Asahi', 'Sotsu', 'Apollon']","['Sunrise', 'Studio Deen']",6.89,5743.0,3353.0,15437.0,51.0,Original,"Apr 2, 1993 to Mar 25, 1994"
Mobile Suit Gundam Wing,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,['TV Asahi'],['Sunrise'],7.84,59837.0,968.0,102695.0,49.0,Original,"Apr 7, 1995 to Mar 29, 1996"
Mobile Suit Gundam Wing Endless Waltz,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",OVA,"['Bandai Visual', 'Sotsu']",['Sunrise'],7.86,19807.0,2288.0,33070.0,3.0,Original,"Jan 25, 1997 to Jul 25, 1997"
After War Gundam X,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",TV,"['TV Asahi', 'Sotsu']",['Sunrise'],7.38,9860.0,2802.0,22432.0,39.0,Original,"Apr 5, 1996 to Dec 28, 1996"
Mobile Suit Gundam SEED,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']",['Sunrise'],7.88,65828.0,894.0,113769.0,50.0,Original,"Oct 5, 2002 to Sep 27, 2003"
Mobile Suit Gundam SEED Destiny,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']",['Sunrise'],7.32,46155.0,1319.0,75184.0,50.0,Original,"Oct 9, 2004 to Oct 1, 2005"
Turn A Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",7.75,8619.0,2548.0,25363.0,50.0,Original,"Apr 9, 1999 to Apr 14, 2000"
Turn A Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",7.75,8619.0,2544.0,25363.0,50.0,Original,"Apr 9, 1999 to Apr 14, 2000"
Mobile Fighter G Gundam,"['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']",TV,"['TV Asahi', 'Sotsu']",['Sunrise'],7.61,23961.0,1910.0,43223.0,49.0,Original,"Apr 1, 1994 to Mar 31, 1995"
Last Exile,"['Action', 'Sci-Fi', 'Adventure']",TV,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']",['Gonzo'],7.9,53498.0,810.0,122802.0,26.0,Original,"Apr 8, 2003 to Sep 30, 2003"
MaiHiME,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",TV,"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']",['Sunrise'],7.55,41234.0,1158.0,85965.0,26.0,Original,"Sep 30, 2004 to Mar 31, 2005"
MaiOtome,"['Comedy', 'Drama', 'Fantasy', 'Magic']",TV,"['Bandai Visual', 'Lantis', 'TV Tokyo Music']",['Sunrise'],7.37,20942.0,2078.0,40418.0,26.0,Original,"Oct 7, 2005 to Mar 31, 2006"
Shin Shirayukihime Densetsu Prtear,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'Super Power']",TV,"['Kadokawa Shoten', 'Rondo Robe']",['Hal Film Maker'],7.3,20937.0,1943.0,43399.0,13.0,Manga,"Apr 4, 2001 to Jun 27, 2001"
Air,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",TV,"['Pony Canyon', 'TBS', 'Movic']",['Kyoto Animation'],7.42,116877.0,429.0,215322.0,12.0,Visual novel,"Jan 7, 2005 to Mar 25, 2005"
Aishiteruze Baby,"['Comedy', 'Drama', 'Romance', 'Shoujo']",TV,"['Animax', 'Toei Video', 'Sunny Side Up']",['TMS Entertainment'],7.55,39274.0,1328.0,73834.0,26.0,Manga,"Apr 3, 2004 to Oct 9, 2004"
Akazukin Chacha,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",TV,"['Nihon Ad Systems', 'Shueisha']",['Studio Gallop'],7.46,3148.0,4227.0,9179.0,74.0,Manga,"Jan 7, 1994 to Jun 30, 1995"
Ayashi no Ceres,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",TV,['Bandai Visual'],['Studio Pierrot'],7.34,20539.0,1941.0,43835.0,24.0,Manga,"Apr 20, 2000 to Sep 28, 2000"
Boys Be,"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",TV,['Audio Tanaka'],['Hal Film Maker'],6.54,6956.0,3327.0,16852.0,13.0,Manga,"Apr 11, 2000 to Jul 4, 2000"
Hana yori Dango,"['Drama', 'Romance', 'School', 'Shoujo']",TV,,['Toei Animation'],7.85,14441.0,2158.0,34813.0,51.0,Manga,"Sep 8, 1996 to Aug 31, 1997"
Ou Dorobou Jing,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,['Aniplex'],['Studio Deen'],7.32,10882.0,2542.0,27050.0,13.0,Manga,"May 15, 2002 to Aug 14, 2002"
Ou Dorobou Jing in Seventh Heaven,"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",OVA,['Aniplex'],['Studio Deen'],7.39,4523.0,4196.0,9800.0,3.0,Unknown,"Jan 21, 2004 to Apr 28, 2004"
Bakuretsu Tenshi,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",TV,"['GDH', 'TV Asahi', 'Imagica']",['Gonzo'],6.9,23930.0,1702.0,53942.0,24.0,Original,"Apr 7, 2004 to Sep 15, 2004"
Chuuka Ichiban,"['Action', 'Comedy', 'Drama', 'Shounen']",TV,,['Nippon Animation'],7.7,4742.0,3861.0,10591.0,52.0,Manga,"Apr 27, 1997 to Sep 13, 1998"
Corrector Yui,"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",TV,"['NHK', 'Studio Tron']",['Nippon Animation'],6.9,3948.0,4216.0,9189.0,52.0,Original,"Apr 9, 1999 to Oct 20, 2000"
Chou Henshin Cosprayers,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",TV,['m.o.e.'],"['Imagin', 'Studio Live']",5.05,2272.0,5054.0,6214.0,8.0,Original,"Jan 12, 2004 to Mar 1, 2004"
Uchuu no Stellvia,"['Action', 'Romance', 'Sci-Fi', 'Space']",TV,"['Starchild Records', 'TV Tokyo Music']",['Xebec'],7.46,7285.0,3242.0,17614.0,26.0,Original,"Apr 3, 2003 to Sep 25, 2003"
Sakigake Cromartie Koukou,"['Comedy', 'School', 'Shounen']",TV,['TV Tokyo Music'],['Production I.G'],8.0,34389.0,1100.0,84903.0,26.0,Manga,"Oct 3, 2003 to Mar 26, 2004"
El Hazard The Alternative World,"['Adventure', 'Comedy', 'Fantasy']",TV,['Pioneer LDC'],['AIC'],6.91,3731.0,4551.0,8092.0,13.0,Original,"Jan 8, 1998 to Mar 26, 1998"
El Hazard The Wanderers,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",TV,"['TV Tokyo', 'Geneon Universal Entertainment', 'SoftX', 'Pioneer LDC', 'TV Tokyo Music', 'Atelier Musa']",['AIC'],7.06,4900.0,3874.0,11185.0,26.0,Original,"Oct 6, 1995 to Mar 29, 1996"
El Hazard The Magnificent World,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",OVA,['Pioneer LDC'],['AIC'],7.4,5444.0,3801.0,11949.0,7.0,Original,"May 26, 1995 to Jan 25, 1996"
El Hazard 2 The Magnificent World,"['Adventure', 'Comedy', 'Fantasy']",OVA,['Pioneer LDC'],['AIC'],6.95,3232.0,4969.0,6469.0,4.0,Original,"Mar 21, 1997 to Oct 25, 1997"
Final Approach,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",TV,['Trinet Entertainment'],['Zexcs'],6.64,14511.0,2569.0,27717.0,13.0,Visual novel,"Oct 3, 2004 to Dec 26, 2004"
Fruits Basket,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']",TV,"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Studio Deen'],7.77,167717.0,277.0,291949.0,26.0,Manga,"Jul 5, 2001 to Dec 27, 2001"
Fullmetal Alchemist,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",TV,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']",['Bones'],8.29,490243.0,37.0,789593.0,51.0,Manga,"Oct 4, 2003 to Oct 2, 2004"
Full Moon wo Sagashite,"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",TV,['Nihon Ad Systems'],['Studio Deen'],8.05,31187.0,1353.0,70878.0,52.0,Manga,"Apr 6, 2002 to Mar 29, 2003"
